depth,shadow_length,model_id,reference_datetime
5,4,ler,2021-03-01 00:00:00
6,3,ler,2021-03-01 00:00:00
7,4,ler,2021-03-01 00:00:00
8,3,ler,2021-03-01 00:00:00
9,4,ler,2021-03-01 00:00:00
0,2,GLM,2021-03-08 00:00:00
1,2,GLM,2021-03-08 00:00:00
1.5,4,GLM,2021-03-08 00:00:00
2,4,GLM,2021-03-08 00:00:00
3,5,GLM,2021-03-08 00:00:00
4,4,GLM,2021-03-08 00:00:00
5,3,GLM,2021-03-08 00:00:00
6,4,GLM,2021-03-08 00:00:00
7,8,GLM,2021-03-08 00:00:00
8,6,GLM,2021-03-08 00:00:00
9,5,GLM,2021-03-08 00:00:00
0,2,GOTM,2021-03-08 00:00:00
1,3,GOTM,2021-03-08 00:00:00
1.5,2,GOTM,2021-03-08 00:00:00
2,4,GOTM,2021-03-08 00:00:00
3,3,GOTM,2021-03-08 00:00:00
4,3,GOTM,2021-03-08 00:00:00
5,5,GOTM,2021-03-08 00:00:00
6,5,GOTM,2021-03-08 00:00:00
7,3,GOTM,2021-03-08 00:00:00
8,4,GOTM,2021-03-08 00:00:00
9,5,GOTM,2021-03-08 00:00:00
0,3,RW,2021-03-08 00:00:00
1,4,RW,2021-03-08 00:00:00
1.5,4,RW,2021-03-08 00:00:00
2,4,RW,2021-03-08 00:00:00
3,7,RW,2021-03-08 00:00:00
4,7,RW,2021-03-08 00:00:00
5,11,RW,2021-03-08 00:00:00
6,11,RW,2021-03-08 00:00:00
7,12,RW,2021-03-08 00:00:00
8,14,RW,2021-03-08 00:00:00
9,14,RW,2021-03-08 00:00:00
0,3,Simstrat,2021-03-08 00:00:00
1,0,Simstrat,2021-03-08 00:00:00
1.5,0,Simstrat,2021-03-08 00:00:00
2,0,Simstrat,2021-03-08 00:00:00
3,2,Simstrat,2021-03-08 00:00:00
4,2,Simstrat,2021-03-08 00:00:00
5,4,Simstrat,2021-03-08 00:00:00
6,5,Simstrat,2021-03-08 00:00:00
7,4,Simstrat,2021-03-08 00:00:00
8,4,Simstrat,2021-03-08 00:00:00
9,4,Simstrat,2021-03-08 00:00:00
0,3,climatology,2021-03-08 00:00:00
1,2,climatology,2021-03-08 00:00:00
1.5,2,climatology,2021-03-08 00:00:00
2,3,climatology,2021-03-08 00:00:00
3,3,climatology,2021-03-08 00:00:00
4,3,climatology,2021-03-08 00:00:00
5,4,climatology,2021-03-08 00:00:00
6,5,climatology,2021-03-08 00:00:00
7,4,climatology,2021-03-08 00:00:00
8,4,climatology,2021-03-08 00:00:00
9,4,climatology,2021-03-08 00:00:00
0,3,empirical,2021-03-08 00:00:00
1,4,empirical,2021-03-08 00:00:00
1.5,4,empirical,2021-03-08 00:00:00
2,4,empirical,2021-03-08 00:00:00
3,3,empirical,2021-03-08 00:00:00
4,5,empirical,2021-03-08 00:00:00
5,11,empirical,2021-03-08 00:00:00
6,11,empirical,2021-03-08 00:00:00
7,12,empirical,2021-03-08 00:00:00
8,14,empirical,2021-03-08 00:00:00
9,14,empirical,2021-03-08 00:00:00
0,3,empirical_ler,2021-03-08 00:00:00
1,3,empirical_ler,2021-03-08 00:00:00
1.5,4,empirical_ler,2021-03-08 00:00:00
2,3,empirical_ler,2021-03-08 00:00:00
3,5,empirical_ler,2021-03-08 00:00:00
4,7,empirical_ler,2021-03-08 00:00:00
5,10,empirical_ler,2021-03-08 00:00:00
6,11,empirical_ler,2021-03-08 00:00:00
7,12,empirical_ler,2021-03-08 00:00:00
8,14,empirical_ler,2021-03-08 00:00:00
9,14,empirical_ler,2021-03-08 00:00:00
0,3,ler,2021-03-08 00:00:00
1,2,ler,2021-03-08 00:00:00
1.5,4,ler,2021-03-08 00:00:00
2,3,ler,2021-03-08 00:00:00
3,3,ler,2021-03-08 00:00:00
4,3,ler,2021-03-08 00:00:00
5,4,ler,2021-03-08 00:00:00
6,4,ler,2021-03-08 00:00:00
7,8,ler,2021-03-08 00:00:00
8,6,ler,2021-03-08 00:00:00
9,3,ler,2021-03-08 00:00:00
0,3,GLM,2021-03-15 00:00:00
1,6,GLM,2021-03-15 00:00:00
1.5,7,GLM,2021-03-15 00:00:00
2,4,GLM,2021-03-15 00:00:00
3,5,GLM,2021-03-15 00:00:00
4,3,GLM,2021-03-15 00:00:00
5,4,GLM,2021-03-15 00:00:00
6,5,GLM,2021-03-15 00:00:00
7,5,GLM,2021-03-15 00:00:00
8,5,GLM,2021-03-15 00:00:00
9,5,GLM,2021-03-15 00:00:00
0,3,GOTM,2021-03-15 00:00:00
1,4,GOTM,2021-03-15 00:00:00
1.5,5,GOTM,2021-03-15 00:00:00
2,6,GOTM,2021-03-15 00:00:00
3,5,GOTM,2021-03-15 00:00:00
4,3,GOTM,2021-03-15 00:00:00
5,3,GOTM,2021-03-15 00:00:00
6,3,GOTM,2021-03-15 00:00:00
7,5,GOTM,2021-03-15 00:00:00
8,3,GOTM,2021-03-15 00:00:00
9,4,GOTM,2021-03-15 00:00:00
0,3,RW,2021-03-15 00:00:00
1,4,RW,2021-03-15 00:00:00
1.5,5,RW,2021-03-15 00:00:00
2,4,RW,2021-03-15 00:00:00
3,5,RW,2021-03-15 00:00:00
4,4,RW,2021-03-15 00:00:00
5,4,RW,2021-03-15 00:00:00
6,4,RW,2021-03-15 00:00:00
7,5,RW,2021-03-15 00:00:00
8,14,RW,2021-03-15 00:00:00
9,14,RW,2021-03-15 00:00:00
0,3,Simstrat,2021-03-15 00:00:00
1,2,Simstrat,2021-03-15 00:00:00
1.5,1,Simstrat,2021-03-15 00:00:00
2,1,Simstrat,2021-03-15 00:00:00
3,1,Simstrat,2021-03-15 00:00:00
4,4,Simstrat,2021-03-15 00:00:00
5,3,Simstrat,2021-03-15 00:00:00
6,3,Simstrat,2021-03-15 00:00:00
7,3,Simstrat,2021-03-15 00:00:00
8,3,Simstrat,2021-03-15 00:00:00
9,4,Simstrat,2021-03-15 00:00:00
0,3,climatology,2021-03-15 00:00:00
1,1,climatology,2021-03-15 00:00:00
1.5,2,climatology,2021-03-15 00:00:00
2,3,climatology,2021-03-15 00:00:00
3,3,climatology,2021-03-15 00:00:00
4,4,climatology,2021-03-15 00:00:00
5,3,climatology,2021-03-15 00:00:00
6,3,climatology,2021-03-15 00:00:00
7,4,climatology,2021-03-15 00:00:00
8,3,climatology,2021-03-15 00:00:00
9,4,climatology,2021-03-15 00:00:00
0,3,empirical,2021-03-15 00:00:00
1,4,empirical,2021-03-15 00:00:00
1.5,4,empirical,2021-03-15 00:00:00
2,4,empirical,2021-03-15 00:00:00
3,5,empirical,2021-03-15 00:00:00
4,4,empirical,2021-03-15 00:00:00
5,4,empirical,2021-03-15 00:00:00
6,4,empirical,2021-03-15 00:00:00
